,DISPLAY_LAST_COMMA_FIRST,FROM_YEAR,PERSON_ID,PLAYERCODE,ROSTERSTATUS,TEAM_ABBREVIATION,TEAM_CITY,TEAM_CODE,TEAM_ID,TEAM_NAME,TO_YEAR
0,"Acy, Quincy",2012,203112,quincy_acy,1,NYK,New York,knicks,1610612752,Knicks,2015
1,"Adams, Jordan",2014,203919,jordan_adams,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
2,"Adams, Steven",2013,203500,steven_adams,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
3,"Adrien, Jeff",2010,202399,jeff_adrien,0,,,,0,,2015
4,"Afflalo, Arron",2007,201167,arron_afflalo,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
5,"Ajinca, Alexis",2008,201582,alexis_ajinca,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
6,"Aldemir, Furkan",2014,203128,furkan_aldemir,1,PHI,Philadelphia,sixers,1610612755,76ers,2015
7,"Aldrich, Cole",2010,202332,cole_aldrich,1,NYK,New York,knicks,1610612752,Knicks,2015
8,"Aldridge, LaMarcus",2006,200746,lamarcus_aldridge,1,POR,Portland,blazers,1610612757,Trail Blazers,2015
9,"Allen, Lavoy",2011,202730,lavoy_allen,1,IND,Indiana,pacers,1610612754,Pacers,2015
10,"Allen, Tony",2004,2754,tony_allen,1,MEM,Memphis,grizzlies,1610612763,Grizzlies,2015
11,"Aminu, Al-Farouq",2010,202329,al-farouq_aminu,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
12,"Amundson, Lou",2006,200811,lou_amundson,1,NYK,New York,knicks,1610612752,Knicks,2015
13,"Andersen, Chris",2001,2365,chris_andersen,1,MIA,Miami,heat,1610612748,Heat,2015
14,"Anderson, Alan",2005,101187,alan_anderson,1,BKN,Brooklyn,nets,1610612751,Nets,2015
15,"Anderson, Kyle",2014,203937,kyle_anderson,1,SAS,San Antonio,spurs,1610612759,Spurs,2015
16,"Anderson, Ryan",2008,201583,ryan_j_anderson,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
17,"Antetokounmpo, Giannis",2013,203507,giannis_antetokounmpo,1,MIL,Milwaukee,bucks,1610612749,Bucks,2015
18,"Anthony, Carmelo",2003,2546,carmelo_anthony,1,NYK,New York,knicks,1610612752,Knicks,2015
19,"Anthony, Joel",2007,201202,joel_anthony,1,DET,Detroit,pistons,1610612765,Pistons,2015
20,"Antic, Pero",2013,203544,pero_antic,1,ATL,Atlanta,hawks,1610612737,Hawks,2014
21,"Ariza, Trevor",2004,2772,trevor_ariza,1,HOU,Houston,rockets,1610612745,Rockets,2015
22,"Arthur, Darrell",2008,201589,darrell_arthur,1,DEN,Denver,nuggets,1610612743,Nuggets,2015
23,"Asik, Omer",2010,201600,omer_asik,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
24,"Augustin, D.J.",2008,201571,dj_augustin,1,OKC,Oklahoma City,thunder,1610612760,Thunder,2015
25,"Ayres, Jeff",2009,201965,jeff_ayres,1,SAS,San Antonio,spurs,1610612759,Spurs,2014
26,"Babbitt, Luke",2010,202337,luke_babbitt,1,NOP,New Orleans,pelicans,1610612740,Pelicans,2015
27,"Bairstow, Cameron",2014,203946,cameron_bairstow,1,CHI,Chicago,bulls,1610612741,Bulls,2015
28,"Barbosa, Leandro",2003,2571,leandro_barbosa,1,GSW,Golden State,warriors,1610612744,Warriors,2015
29,"Barea, Jose Juan",2006,200826,jose_barea,1,DAL,Dallas,mavericks,1610612742,Mavericks,2015
30,"Bargnani, Andrea",2006,200745,andrea_bargnani,1,NYK,New York,knicks,1610612752,Knicks,2015
